title,release_date,rating,description,metascore
ESPN International Track & Field,2000-09-26,E,"Go for the Gold!

*Detailed ESPN Integration 
*Authentic ESPN Graphic overlays
*Eye-popping statistical drop-ins
*Broadcast quality replays
*Over 750 authentic motion-captured animations featuring ""The World's Fastest Man,"" Maurice Greene, 3 time Olympian Ato Boldon, and more.
*12 international track & field events from the 100m dash to the Hammer Throw.
*Compete with athletes from over 10 different countries around the world with up to 4 player capability",61
Illbleed,2001-04-16,M,"Imagine, if you will, a berserk B-movie horror film producer with a twisted sense of humor who puts up a million bucks (fictitious, of course!) to anyone who can survive his 7 movie-themed worlds. It's a bloody mess of mutant monsters, over 1000 traps and items, and abject terror fused with B-movie humor. You must rely solely on the game's sensory feedback (eyesight, hearing, smell, sixth sense) and the hard-to-find &quot;Horror Monitor&quot; to survive the epic adventure! Illbleed delivers a badly needed transfusion to the &quot;been there, done that&quot; horror game genre.",61
Bang! Gunship Elite,2000-12-18,E,"You've never experienced anything like BANG! Gunship Elite. Incredible rendering techniques, a real-time 3-D universe, expansive galaxies, aliens, asteroids, mammoth vessels, aggressive fighters and powerful weapons make this the action game your universe is clamoring for!",61
Championship Surfer,2000-12-11,E,Each of the surfers is modeled and textured in seamless 3-D with a full set of animations that accurately reflects their individual style and moves.  [Mattel Interactive],61
Virtua Athlete 2000,2001-08-10,E,"The top 7 events from Track and Field come to life like never before as players vie for the top sports honor - &quot;The World's Greatest Athlete!&quot; Using the latest 3D graphics, Virtua Athlete 2000 challenges you to use quick reflexes, sharp eye-hand coordination, and split-second timing to master each of the events.",61
Zombie Revenge,2000-01-25,M,"It takes both firepower and fist-power to wipe out the ultimate army: a legion of hideous, killer Zombies. Beat these bio-engineered super-warriors, and save the country from their horror.",60
Atari Anniversary Edition,2001-07-02,E,"Atari produced many memorable arcade games during video gaming's early days and now the best have been gathered together in a new compilation.  In Arcade Anniversary Edition, you relive the fast action, sights, and sounds of 12 classic Atari games:  Asteroids, Asteroids Deluxe, Battlezone, Centipede, Crystal Castles, Gravitar, Millipede, Missile Command, Pong, Super Breakout, Tempest, and Warlords.  Each Atari title is faithfully reproduced down to the last detail, and each one is just as easy and fun to play as the original.",60
Army Men: Sarge's Heroes,2000-10-30,T,"As Sarge, you must rescue your trusted commandos from the clutches of the evil general plastero. Enjoy tense commando action in oe of 14 different missions as sarge rolls, dives and climbs through dangerous enemy environments. Good Luck, Soldier!",60
Tomb Raider: Chronicles,2000-11-28,T,"Four new adventures take you from the rooftops of a high-tech city to the bowels of a German U-boat. Utilize new moves to overcome obstacles. Search through files, drawers, and shelves for useful inventory items. Enhanced inventory system for greater combination of a variety of weapons.  [Eidos Interactive]",59
KISS: Psycho Circus - The Nightmare Child,2000-10-29,M,"Utilizing an enhanced version of the LithTech engine, KISS Psycho Circus comes alive with realistic character and object motions, and interactive music and sound effects. The game supports up to 50 creatures on the screen at once, the largest number of creatures on the screen at one time in a first-person game.  [Gathering of Developers]",59
Maximum Pool,2000-12-04,E,"Maximum Pool's interface can prove to be very cumbersome, but if you can learn to tolerate how it plays, it's a great deal.",59
Q*bert (1999),2000-11-30,E,"Help Q*bert rescue his friends and save Q*dina while navigating his way through challenging new world of mind-bending pyramid puzzles. Q*bert's world is filled with secrets, helpful power-ups, and all the familiar characters you remember-plus several new ones! Jump right in and get ready for all new cube-hopping fun!",58
Heavy Metal: Geomatrix,2001-09-13,M,"In the future, with the evolution of Nanobot technology, microscopic robots recreate human cell composition in the cyber world. Fantasy and reality have merged into one neo-world. Humans abandon the real world for the cyber luxury of the virtual world. Now, the polar caps are disloged and melting, submerging mother earth underwater. What little turf remains is claimed by thugs, gangs, and mercenaries. The battle for landmass begins. Only now, war is waged inside the Geomatrix with Nanobots armed with devastating weaponry. To win you must fight, to live you must win!",58
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,2000-06-30,E,"The Countdown to Adventure is On!

As space hero Buzz Lightyear, you've got your hands full. Your best buddy, Woody, has been kidnapped by a greedy toy collector and it's going to be an all-out race against time to save him. It's all up to you...Buzz Lightyear to the rescue!",57
Disney/Pixar Buzz Lightyear of Star Command,2000-09-26,E,"Calling All Intergalactic Space Rangers!

Only you, Buzz Lightyear, and your elite Space Ranger team can defeat the evil Emperor Zurg and his bad guys in their dark quest for universal domination. To infinity and beyond!",55
Surf Rocket Racers,2001-02-28,E,Surf Rocket Racers is what happens when a game developer takes a stock game formula and simply goes nowhere with it.,55
Sonic Shuffle,2000-11-13,E,"Illumina, the Guardian Angel, needs your help. The mysterious monster Void has locked up the power of the Precioustones, and it's up to you to guide Sonic and his friends through incredible game boards to recover them. Play with up to 3 friends to find out who will be the first to save the land of Maginaryworld. Play minigames, fight bosses, work your way through special events, and more, in Sonic's latest adventure!",54
Sydney 2000,2000-08-31,E,"Let the games begin, Mate! Get ready to compete against your friends in 12 challenging events including 110M Hurdles, High Jump, 10M Platform Diving, Sprint Cycling, and much more!  [Eidos Interactive]",53
Evil Dead: Hail to the King,2000-12-20,M,"Chainsaws, boomsticks, and Deadites, oh my! Slice and dice the undead with a weapon in each hand. Fight evil across the spans of time: from the infamous cabin to ancient Damascus. Over 20 evil, grisly Deadites attempt to swallow your soul! Best of all... Bruce Campbell as Ash!",49
World Series Baseball 2K1,2000-07-17,E,One can't use high expectations to explain away all of WSB 2K1's flaws.,48
Death Crimson OX,2001-08-05,T,"July 29, 2010. The beautiful city of Saronica is destroyed by the mysterious SMO. Agents, known as Subliminers, are placed throughout the city to oppress the populace. Survivors form The Resistance and fiercely engage SMO forces in battle. The Resistance is led by the elusive Lily, who also makes a mean dish of macaroni and cheese. Segue to agent Kou Yanami, tortured with doubt over his employer's policies. He seizes two pistols from SMO's arsenal and joins Resistance forces. His pistols are the Crimson, ancient super weapons. Lily attempts to shelter Kou from his dogged pursuers but in turn falls prey to SMO. Now, Kou Yanami and Lily's daughter, Yuri, set out to free her... and blow away any SMO Subliminers who get in their way!",46
NFL QB Club 2001,2000-08-24,E,"It's clear that NFL QB Club 2001 is trying to play catch up with Sega's NFL 2K series, and the way things stand, QB Club still has a lot of cleaning up to do before it can smell as rosy fresh as Sega's superior offerings.",44
Jeremy McGrath Supercross 2000,2000-08-08,E,"Race as or against 11-time Supercross Champ Jeremy McGrath and other superstar riders including Button, pastrana, Windham, Tortelli, Dowd, Ramsey and Albertyn!",43
Ducati World Racing Challenge,2001-02-13,E,"Currently being developed by Attention to Detail and based on the renowned Ducati motorcycle brand, the game will include both a traditional arcade mode and a simulation mode.",40
ECW Anarchy Rulz,2000-11-28,T,"Anarchy in the USA!

*All new control system!
*First-ever blistering Brimstone match plus music from Dope &amp; One Minute Silence!
*The Bionic Elbow from &quot;The American Dream&quot; Dusty Rhodes!
*Backlot brawls, all-new finishers &amp; 2-man commentary!
*Never before seen hardcore table matches!
*RVD, Tanaka, The Sandman &amp; over 60 extreme wrestlers!",38
