title,release_date,rating,description,metascore
RayStorm,1997-06-30,K,"Grab your oxygen mask and jump into the future of interplanetary defense. The year is 2219AD, and Earth's Star Federation has unleashed the R-GRAY advanced tactical combat fighter to save the planet from certain destruction at the hands of the bloodthirsty Secilia Federation. Despite impossible odds, you must now command a specially outfitted R-Gray fighter to defend Earth from certain destruction. Each fighter is equipped with lock-on lasters, pulse lasers, and a single devastating assault laser array that can destroy all sighted targets as once. Even with this technology at your disposal, the battle will not be easy. Earth's forces are depleted, and the merciless hordes of Secilia will settle for nothing less than complete annihilation of Earth. Fortunately, Star command has created two R-GRAY prototypes, so if you need extra firepower, a skilled friend can fly at your side. Whether you fly solo or with a friend, the intense sound, action, and arcade-perfect Hyper-3D visuals will blow you away!",79
Tales of Eternia,2001-09-10,T,"Embark on a heroic journey to discover the truth behind an enigmatic stranger and the ominous message she brings. For years, life in the sleepy village of Rasheans was routine and peaceful - that is, until the day a spacecraft crashed in a nearby forest leaving nothing but wreckage, a mysterious girl, and a desperate warning of catastrophe. Join Reid, Farah, and other valiant heroes as they set out to discover the origin of the stranded girl and the truth behind the fate of their worlds.",78
Arc the Lad Collection,2002-04-18,T,"The Arc the Lad Collection is ultimately an interesting, varied, and rewarding experience that has a tendency to sometimes get bogged down.",78
Need for Speed: Porsche Unleashed,2000-02-29,E,"Need for Speed: Porsche Unleashed tests your driving skills while you test-drive some of Porsche's most popular cars. In the game, you'll compete in levels that feature twists, turns, and various driving conditions. You can participate in different types of races, including circuit, streetcar, open road, and more. Survive all the crashes, police, and track challenges to earn prizes and respect. With enough money, you can purchase different custom parts for your vehicle.",78
MLB 2003,2002-06-17,E,"If you must have a baseball game that features the latest player rosters and you're bound to the old PlayStation, MLB 2003 is the best and only choice.",78
Lunar: Silver Star Story,1999-05-28,T,"Return to the world of LUNAR, in the completely reworked 32-bit version of the RPG classic. Journey back to a place where dragons yet live, and magic is valued above all else. Join Alex, the young adventurer, as he begins a quest with his friends to save their land from the crushing advance of the Magic Emperor. Explore Dungeons, fight terrifying monsters, and gather information from the locals as you advance toward the explosive encounter with the Magic Emperor himself! Exciting, menu-driven combat will keep you challanged until the last. And, thanks to the storage power of CD and the PlayStation's built-in movie player, LUNAR contains nearly an hour of incredible animation sequences that will get you involved in the story faster than you ever thought possible. Get ready for the ride of your life...",78
Dragon Quest VII: Fragments of the Forgotten Past,2001-10-31,T,"You plan to become a humble fisherman of peaceful Estard Island, the only land in a world of ocean. But when you discover the artifacts from an ancient land, you tear the fabric of time and unveil the world that once was. Transported to past lands, you must solve their mysteries and break the spell of annihilation. Prepare for your destiny!",78
NHL FaceOff 2001,2000-09-05,E,"If you own either of the past two renditions of NHL FaceOff, you really have no reason to pick up 2001.",78
Tenchu 2: Birth of the Stealth Assassins,2000-08-07,M,"Before the events of Tenchu, the House of Gohda is rocked by betrayal. As shadow warriors Rikimaru, Ayame and Tatsumaru, you are called on to restore pride to the name of your master. For you have been born to a life of honor... a life of stealth. Discover even more ways to slay your foes with 21 new stealth kill techniques. Take on the role of three ninja assassins, each with their own story and fighting techniques. Strike from the shadows in 29 new day and night stealth missions. Utilize a variety of new ninja weapons and items, like flaming arrows and invisibility.",77
Alone in the Dark: The New Nightmare,2001-06-18,M,"From the moment Edward Carnby and Aline Cedrac set foot on Shadow Island, they are confronted by mysterious, evil creatures intent on thwarting their progress to recover 3 ancient tablets believed to hold the secret key to some incredible menacing phenomenon. Fears threaten from every corner. The slightest shadow could be hiding deep secrets, or concealing worse nightmares...",77
Mega Man X5,2001-02-01,E,"The year is 21XX and the chaos of the Reploid Wars has passed.  Lunar colonization is at its peak.  The largest colony, Eurasia, is unexpectedly taken over by an unknown band of galactic terrorists.  It's artificial gravity device has been hacked and Eurasia is now on a collision course with Earth.  The only way to stop it is to deploy and ancient beam cannon, Codename: Enigma.  Join Mega Man X and his pal, Zero as they race against time to collect the necessary parts to restart Enigma, prevent total annihilation and save life on Earth!",76
Tomb Raider III: Adventures of Lara Croft,1998-11-21,T,"Join Lara in her biggest adventure to date in the phenomenal Tomb Raider series. Play through five huge worlds, in any order, on the quest for an ancient meteor rumored to have life-giving powers. New puzzles, environments, and even a few old enemies, like the infamous T-Rex await you. From the jungles of India to the icy wastes of Antarctica, across the rooftops of London and into the depths of Nevada's mysterious Area 51, Lara is ready for anything. Prepare to be amazed!",76
Triple Play Baseball,2001-03-12,E,Triple Play Baseball is one of those rare games that really draws you into the experience with fantastic gameplay and quality graphics and sound.,76
Elemental Gearbolt,1998-06-30,T,"In a fantastic world divided by class and race, technology from a mysterious source has imbued a young prince with the key to unimaginable power. By means of a Neural Network Computer fueled by the grey matter of unfortunate 'volunteers', he plans to conquer the known world, replacing it with a new order of his design. The only fly in the ointment is disturbing reports of two powerful Elementals storming across the land on a direct course toward the palace. One or two players can assume the identities of these Elementals as they crusade for an unknown master toward a climactic battle. The gripping story unfolds by means of heart-stopping fully-3D action levels interspersed with gorgeous hand-drawn animation scenes. This is the game for which VISA was invented--what are you waiting for?",76
Disney/Pixar Toy Story Racer,2001-03-05,E,"It's no Crash Team Racing, but Toy Story Racer provides plenty of challenge for young and old alike.",76
Star Trek: Invasion,2000-06-29,E,"Stardate 54101.02
It's the 24th Century: Borg vessels are rapidly approaching near space, Romulans are suddenly attacking Federation vessels and a respected Starfleet Captian has turned renagade, taking his ship with him! As a hotshot pilot in the elite Red Squad tactical strike force, under the command of Lt. Commander Worf, you must uncover the plot behind this deadly pattern of events and fight back to save the universe from a doomsday scenario. Flying a prototype single seat combat fighter, codenamed &quot;Valkyre&quot;, you and your squad members are in for the fight of your lives...",76
Mega Man Legends 2,2000-10-24,E,"Mega Man, Roll and all your favourites are back in an entirely new 3-D adventure. Far away, in an isolated wasteland, a mysterious girl and an infamous treasure have been discovered. It's the legendary &quot;Sealed Key&quot;, rumoured to unlock an even greater mystery known as the Great Legacy. What power does the Great Legacy hold? Now, a race unfolds as Mega Man and his friends embark on a journey which will alter their destinies forever.",76
Chicken Run,2000-11-13,E,"Behind the barbed wire fence of Tweedy Farm, Ginger is a chicken with a mission. Fearing for the lives of her friends, she is determined to escape to freedom before it is too late. To do this she enlists the help of Rocky, the smooth talking, flying Rooster...or is he?

Guide a rescue attempt to get all of the chickens to safety before they end up as pies. To do this you will have to sneak around the farm collecting objects necessary for the escape. Be careful not to disturb the dogs and avoid being caught by Mr. and Mrs. Tweedy at all costs in this humorous, 3D action game.",75
Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!,1999-11-16,E,"As space hero Buzz Lightyear, you've got your hands full. Your best buddy, Woody, has been kidnapped by a greedy toy collector and it's going to be an all-out race against time to save him.",75
X-Men: Mutant Academy,2000-07-11,T,"X-Men sticks close to the standard fighting game formula, and as a result, it manages to be fun for a short period of time.",75
The Legend of Dragoon,2000-06-13,T,"A peaceful beginning. The legend was born 10,000 years ago. A violent uprising. A civilization of flying creatures enslave the human race. A bloody war. In a bid for freedom, the humans harness the spiritual forces of Dragons and triumph. Tranquility and harmony exist between all. But the past and the future are about to collide...Unveil a fantasy of Magnificence, Deception, Magical Combat and Retribution. Transform into Dragoons and unleash extraordinary powers. Incredibly diverse characters wield unique weapons and Dragoon attacks powered by the forces of Earth, Light, Fire, Wind, Lightning, Water and Darkness. Totally unique and innovative tactical combat &quot;Additionals&quot; System.",74
Spider-Man 2: Enter: Electro,2001-10-19,E,"The city is at risk, and only you can save it from the evil clutches of an old enemy: the powerful Electro. He has a mysterious new device that will make his million volts of destruction even more deadly. But, with Spider-Man on the job, Electro is in for the shock of his life.",74
Capcom vs. SNK: Millennium Fight 2000 Pro,2002-08-14,T,"Two monster corporations at war. One solution. A massive martical arts event is organized to settle the score and eliminate all conflict between the two parties. Join over 30 brawlers from Capcom's legendary Street Fighters and SNK's world-renowned The King of Fighters series as they fight for universal domination.

Capcom vs. SNK Pro...
the ultimate collision of strength and power.",74
Dance Dance Revolution Disney Mix,2001-09-18,E,"If you're a DDR fan who hasn't already imported the bevy of dancing games available in Japan, DDR Disney is worth checking out.",74
Army Men: Air Attack 2,2000-11-06,T,"Plastro, the nefarious leader of the Tan army, has enlisted the help of the villainous Baron von Beige to help him set a trap for Captain Blade! The Alpha Wolf Squadron once again 'takes to the skies' with an onslaught of new missions, improved helicopters and more pyrotechnic weaponry than ever before. Join the Air Cavalry as they face a host of challenging foes in their efforts to stop the General's evil plans.",74
The Italian Job (2001),2002-12-31,T,"London, 1969. Charlie Croker has just finished a three year stretch, courtesy of Her Majesty's Prisons, and has an idea: to steal $4,000,000 in gold bullion, right from under the noses of the Mafia and the Turin Police. 

This is where you come in... as one of his drivers, you'll have to master 14 vehicles, including flashy sports cars and the legendary Mini Cooper, as you screech down sewers, roar over rooftops and tear through the Alps, with the Mob and the law hot on your heels.",73
NFL GameDay 2001,2000-10-30,E,"In the end, GameDay 2001, aside from its obvious roster updates and a few minor additions, is totally identical to last year's title, which was a really good game.",73
Syphon Filter 3,2001-11-06,M,"Syphon Filter 3 looks, plays, and feels more like an expansion pack for the previous games than a true sequel.",73
Disney's Atlantis: The Lost Empire (2001),2001-06-14,E,Atlantis: The Lost Empire is based on the Disney movie of the same name and follows the exploits of four characters from the movie as they attempt to discover the hidden underwater world.,73
Saiyuki: Journey West,2001-08-13,E,"A Journey of Friendship...A Journey fraught with Danger...A Journey to Save the World...A Journey West. Based on one of the most popular legends of China, Saiyuki takes you on an epic journey from China to India and back. Recruit the Monkey King, Son Goku, and others like them to defeat untold monsters along the way.",73
Supercross (2000),2000-11-21,E,A mere $40 investment stands between you and one of the best arcade-style motorcycle racing games the PlayStation has to offer.,73
NASCAR 2001,2000-09-19,E,"Despite the haphazard audio, NASCAR 2001 is definitely a game that's worth owning.",73
Looney Tunes: Sheep Raider,2001-09-27,E,"Based on one of the most popular cartoons in the Looney Tunes library, players will direct Ralph Wolf throughout the flock of sheep while avoiding detection by Sam Sheep-dog. Your mission, of course, is to use all sorts of outrageous mail-order equipment (Acme, naturally) to get to some delicious lamb chops.",72
RC Revenge,2000-08-17,E,RC Revenge is intensely playable and highly polished - a far cry from its predecessor.,72
X-Men: Mutant Academy 2,2001-09-17,T,"Train with Professor X to unleash your super-powers and polish your combat skills. Master all-new, over-the-top moves-including aerial combat-as you fight through the ranks of mutants and prove you have what it takes to earn X-MEN status. Plus, get a behind-the-scenes look at X-MEN the Movie concept sketches, costumes and more!",72
Time Crisis: Project Titan,2001-06-20,T,"Hard-core Time Crisis fans and those just looking for a good gun game would do well to pick up this game, but the antiquated presentation, lack of options, and brutal continue system will make this at best a rental for most.",71
NCAA March Madness 2001,2000-12-06,E,EA added the new coach mode and polished an already stellar game into the best college hoops simulation for the PlayStation.,71
NBA ShootOut 2001,2000-10-30,E,"989 has opted to take the easy road this time around, and the result is a basketball game that remains virtually unchanged from last year's version.",71
Looney Tunes Racing,2000-11-13,E,"Rev your engines - It's time to burn some Looney Tunes rubber! ACME Corporation, the corporate juggernaut behind such successful products as the Acme Disintegrator Gun and the Acme Portable Hole, is sponsoring a number of racing contests all over the universe for the Looney Tunes characters to compete for the looniest racing champion title.",71
MTV Sports: Pure Ride,2000-09-30,E,"MTV: Pure Ride is an excellent snowboarding game, but it's yet another example of a development house shifting the majority of its resources to the next generation of hardware.",70
Thunder Force V,1998-08-31,E,"Easily as good as Raystorm or G-Darius and tough competition for Einhander, Thunder Force V is a shooting fan's dream.",70
Championship Motocross 2001 Featuring Ricky Carmichael,2001-01-30,T,"It's a solid game that's fun to watch, but it's no longer the only game in town.",70
Grand Theft Auto 2,1999-10-25,T,"Even though the gameplay is largely the same as in the previous GTA, it's still a lot of fun.",70
NCAA GameBreaker 2001,2000-08-21,E,NCAA GameBreaker 2001 is basically the same as last year's model.,69
Destruction Derby Raw,2000-09-26,E,Destruction Derby stands alone as the premier demolition racing series on the PlayStation.,69
NASCAR Thunder 2002,2001-10-02,E,"Includes over 50 drivers (Gordon, Earnhardt Jr., Jarrett, and unlockable NASCAR® Busch Series drivers) and all 23 tracks from the NASCAR Winston Cup® series and allows you to Create-A-Car and earn money and sponsors to build your own racing dynasty.  [EA Sports]",69
Castlevania Chronicles,2001-10-08,T,"Count Dracula has been resurrected to begin a new reign of terror across the land. As Simon Belmont, descendant of legendary vampire hunters, you enter Dracula's estate to face the Count and his minions - alone. Be prepared for one of the first adventures in the Castlevania series ever!",69
Strider 2,2000-07-29,E,"Out from the underbelly of a dark and dangerous future, emerges an elusive hero who wages war for peace and justice. Now, one of the world's most legendary heroes, Strider Hiryu, returns on the PlayStation&reg; game console. Armed with his light sword, Cypher, Strider blazes through the darkness to battle the evil dictator, Grandmasters. Featuring 2 discs of gritty action adventure, this highly anticipated sequel also includes an incredible bonus... the original Strider game.",69
Silhouette Mirage: Reprogrammed Hope,1999-12-31,E,"In an apocalyptic future, the Edo computer has gone beserk, dividing the world's inhabitants into two mutant classes. Silhouette and Mirage. Now, the watchguard computer safety system has sent forth the Messenger of Justice to travel to Edo and repair the damage before the world is lost forever. As the Messenger, Shyna Nera Shyna, blast, beat, and bash your way through seven wild and bizarre stages using friendly parasite weapons to aid your advance against wacky enemies, huge fully-animated bosses, and devilshly difficult obstacles. Providing the utmost in playability and replayability, the game wizards at Treasure, the brilliant minds behinds such international hits as Gunstar Heroes&trade;, Dynamite Headdy&trade;, Mischief Makers&trade;, and Guardian Heroes&trade; have come up with another sure-fire classic that pushes the 2-D capabilities of your PlayStation&reg; game console to its limit, and come up with a hit!",69
Crash Bash,2000-11-07,E,"Crash and his friends are back in a knockdown, drag-out arena rumble. Get ready to ride, race, jump, throw, and battle it out to the finish in frantic, head-to-head battles, and heart-pumping chases. Choose your favorite character, including Crash, Coco, Dr. Neo Cortex, and new baddie Rill Roo, and race for points in more than 30 competitive events. With a Multitap, you can race up to three of your friends and show who's the top bandicoot. It's a good old-fashioned bandicoot brawl.",68
Ducati World Racing Challenge,2001-01-02,E,Ducati World Racing Challenge makes a good effort at providing the kind of gameplay and variety that racing fanatics desire.,68
Ball Breakers,2000-07-26,E,"Sentenced to eternity in an ultra violent intergalactic prison for a crime you didn't commit, you only have one shot at freedom, and it's a long hard road to roll down. You will have to go head to head with the &quot;Best of the Worst&quot;. The most vicious and violent humanoid prisoners the galaxy has to offer. Fight your way across the universe, beating any and all opponents... If you're tough enough, you can win back the freedom that is rightfully yours... if you're the last man rolling!",68
Vanishing Point,2001-02-05,E,Vanishing Point is one of the most original and enjoyable racing games to come around in a long time.,68
Dave Mirra Freestyle BMX: Maximum Remix,2001-05-21,E,"The graphics in Maximum Remix are roughly identical to the first game, so you're stuck with muddy, ugly textures and quite a bit of texture warping.",67
RayCrisis,2000-10-25,E,"An ambitious and unethical scientist, a secret experiment gone horribly awry, and an artificially intelligent supercomputer gone mad; all the necessary ingredients for the imminent extinction of mankind. You are humanity's last hope, a hotshot pilot given the unenviable task of flying an experimental fighter into the dark heart of the Con-Human Network. Seize the controls of three Wave Rider spacecraft, each equippped with the WR-01 primary weapon array, WR-02 secondary lock-on laser system, and WR-03 single-use weapon for emergency situations. RayCrisis: Series Termination is the final entry in Taito's acclaimed trilogy of shooters, and it bombards your CRT with an abundance of fourth-generation optical stimulation: multilevel scrolling, transparency and lighting effects, and enough polygons to overload your cerebral cortex. Dodge, weave, and blast through two play modes, disintegrating wave after wave of relentless bogeys, to achieve high scores and unlock hidden bonuses. Prepare your senses, reinforce your nerves, and limber your trigger finger - the final assault has begun!",67
F1 Championship Season 2000,2000-09-30,E,"F1 Championship Season 2000 may not be the deepest game in terms of overall features, but it still has enough inherent playability to warrant the attention of both veteran and casual game players alike.",66
SnoCross Championship Racing,2000-08-22,E,"Strap on your goggle and helmet, choose your favorite sled and hit the courses. Gain experience day and night, sun, rain or snow, racing on the icy flats of Murmansk, the slopes of Aspen and the tunnels of Nagano.",66
RPG Maker,2000-09-19,E,"Meet Your Maker!

For the first time ever, RPG fanatics are given the chance to be true game designers. You construct an entire RPG using the massive library of in-game design tools: plot your story path, create an incredibly nasty boss, customize dungeons and maps, even animate your own title screen. When your RPG masterpiece is complete, save it and challenge friends to play through your one-of-a-kind fantasy adventure creation.

* Be the DM of your Ultimate RPG
* Design and script everything imaginable in a Fantasy-Adventure World
* More than 400 dungeon components
* 68 character choices
* 16 special abilities per character
* Comprehensive Library of Game Designer Tools
* Share Memory Cards &amp; Challenge Your Friends
* Anime Maker Tool Lets You Create &amp; Animate Characters From Scratch",66
Bust A Groove 2,1999-03-31,E,"It's time to show your stuff and bring down the house. With brilliant tunes and joint-cracking moves, this is the hippest dance game ever created.",66
Disney's The Emperor's New Groove,2000-11-13,E,"Take on, self-absorbed Emperor named Kuzco. Add a devious royal advisor named Yzma, her brawny assistant Kronk and their potion that turns Kuzco into a llama. Introduce a good-hearted peasant named Pacha, to help Kuzco. And, what do you get? Al-paca trouble!",66
Tiger Woods PGA Tour 2001,2000-11-13,E,"Those simply looking for a good PlayStation golf game are better off looking at the Hot Shots series than picking up this antiquated, middle-of-the-road golf game.",65
Mega Man X6,2001-12-04,E,"It's been three weeks since Earth's near collision with the space colony Eurasia. The disaster was averted by Zero's heroics. Now, on a bruised and battered planet, tales of rampagning reploids are surfacing. It's up to Mega Man X to investigate these mysteries but it's not going to be easy. Mega Man X must battle through a maze of levels and rescure reploids along the way. Return to battle agagin and again with the new Nightmare System, which randomizes level maps, enemies and endings based on how you play the game. Mega man X is back and now it's personal!",65
Razor Freestyle Scooter,2000-12-11,E,"While the game is aimed at a younger crowd, it still manages to be good, albeit short-term, fun.",65
"Monsters, Inc. Scream Team",2001-10-30,E,More sophisticated players will likely find this 3D platformer to be too repetitive and easy.,65
Harry Potter and the Sorcerer's Stone,2001-11-16,E,"Leave the nonmagical world behind and enroll in Hogwarts School of Witchcraft and Wizardry in Harry Potter and The Sorcerer's Stone.  As Harry Potter, you will hone your magical skills and advance through three terms of study during Harry's first year at Hogwarts.  Each term will challenge you to meet a number of objectives, such as collecting and mixing potions with Professor Snape or piloting a flying broom through the Forbidden Forest in search of Neville Longbottom's Remembrall.  In order to pass the first year of study, players must complete over 29 different objectives, while avoiding enemies and obstacles.",64
Tomb Raider: Chronicles,2000-11-24,T,"Tomb Raider: Chronicles reveals four newly discovered, and previously untold adventures, taking you on a journey from the ruins of Rome, to the bowels of a German U boat, to the rooftops of a hi-tech city in a search of four ancient artifacts.

In light of Lara's recent disappearance, those closest to her gather together at the Croft Estate on a gray, rainy day for a memorial service in her honor. Afterwards, the friends sit quietly together in the study of the Croft Mansion and provide new insights about Lara's past exploits; exploits that have until now remained a secret...",63
The Weakest Link,2001-09-24,E,"Join up to 6 other players as Anne Robinson slings over 100,000 questions (along with a few insults) at you in the home version of the popular T.V. game show.",63
Star Wars: Demolition,2000-11-12,T,"Star Wars Demolition might seem like some half-baked attempt to cash in on the Star Wars license, though it's actually a competently executed game.",63
C-12: Final Resistance,2002-07-22,T,"The population is threatened with near extinction as hostile alien forces ravage the planet, converting human survivors into cyborg warriors. Working against all odds and armed with an Alien Imaging Unit that has replaced his left eye, Resistance fighter Lt. Riley Vaghan must use firepower, stealth, intelligence and sheer determination to save humankind from impeding doom.",63
NFL GameDay 2002,2001-08-06,E,"With its exhibition, season, tournament, training camp, and general manager modes, GameDay 2002 is improved in all areas and allows the player to customize individual AI components.",62
One Piece Mansion,2001-09-30,E,"Offering an unfamiliar style of addictive puzzle gameplay and boasting the personality of a vast assortment of wacky characters, One Piece Mansion is a fine buy for fans of the genre.",62
Hoshigami: Ruining Blue Earth,2001-12-10,E,"In the mystical land of Mardias, the Valaimian Empire threatens to upset the balance of power of the continent. Our hero, Fazz and his band of mercenaries are hired to protect one of the Ruins of Xia from the Valaimian forces. Little do they know, that a more sinister power is rising. Will you be able to stop it before the world of Hoshigami is engulfed in eternal darkness?",62
Hogs of War,2000-09-29,T,"With four people joining in, the number of onscreen explosions, pig-speech comments, and all-around nuttiness nearly lifts the game into the same sphere of quality as Worms or Bomberman.",62
Stuart Little 2,2002-07-17,E,"Join Stuart Little on his fun-filled journey through grand Manhattan. The evil Falcon has stolen some of the city's most precious jewelry and it's up to Stuart to get them back! Luckily, Stuart wants your help and with it, the sinister Falcon doesn't stand a chance!",62
Driver 2,2000-11-14,T,"The crime world's fastest getaway driver is back on the streets in Driver 2, the sequel to the action-packed Driver.  Like its predecessor, Driver 2 is an adrenalin-fueled, high-speed car chase through the streets of four cities, where you, as Tanner, infiltrate the criminal underworld, using your driving skills as well as your cunning to disrupt their plans.  All the true-to-life features of Driver; such as realistic car handling, complete with damage modeling and true, real-world physics reactions on all cars; extensive production, giving the cities an amazing realism, featuring recognizable landmarks; new features such as foot missions, dual player, and the enhanced cut scenes make this game a real adrenalin rush.",62
007: The World is not Enough,2000-11-07,T,"Experience the intensity of being the world's top secret agent. Equipped with a full arsenal of Q-Lab gadgets and weaponry, you must be suave and resourceful as you carry out action-packed missions based on the blockbuster movie.",61
Disney's Aladdin in Nasira's Revenge,2001-03-15,E,"Aladdin is about to face his biggest adventure yet. He's got to dart through the marketplace of Agrabah; break his way through the Palace; escape imprisonment in the dungeon; journey through an oasis; survive the fiery Cave of Wonders; rescue Jasmine from booby traps in the Pyramids; save the Sultan from the grasp of evil in the Ancient City; and battle Nasira in her secret lair, And Jafar is never far away...",61
Alien Resurrection,2000-10-10,M,"Ellen Ripley died trying to wipe out the Aliens. Now, 200 years later, scientists have resurrected Ripley - along with the Alien Queen - hoping to create the ultimate weapon. Teamed with a crew of renegade space pirates on a research vessel headed for Earth, they must fight for survival and destroy the Aliens once and for all.",61
Men in Black - The Series: Crashdown,2001-11-01,T,"Think you have what it takes to become one of the Men in Black? Good. Let's rock!
Play as agents Jay and Kay as you attempt to foil the plans of the diabolical Alpha and his relentless army of devious Fmecks. With out-of-control aliens seemingly everywhere, you've got your work cut out for you.
- Intense first person action/adventure based on the hit animated series.
- 26 detailed levels of alien anarchy, including New York's Chinatown, a massive spacecraft and the MIB headquarters.
- Over 25 futuristic gadgets and out-of-this-world weapons, such as the legendary ""Noisy Cricket"".
- 15 unique alien races, each with its own specialized abilities.",59
Darkstone,2001-01-28,T,Darkstone makes an excellent case for making a modest $10 investment.,58
Dragon Valor,2000-10-16,T,"The branching family tree adds a measure of replay value, but the game is average enough that few will want to play it through more than once.",57
Sydney 2000,2000-07-31,E,"If you buy into the whole button-mashing mentality of track and field games, you'll find that Sydney 2000 turns in a solid, finger-numbing performance.",57
Cool Boarders 2001,2000-10-23,E,"Rip it up with 10 World Class professional snowboards, including snowboarding champions Todd Richards, Barrett Christy, Kevin Jones, Michele Taggart, Jeremy Jones and Tara Dakides. Tweak your grabs on more then 20 huge, branching courses in 6 killer events. Carve the slopes against the pros in the intense Pro Challenger mode. Shred powder against the best! Sick tricks, grabs, grinds, board tweaks and special moves. Create your own rider and look like a pro boarder with authentic gear from top snowboarding sponsors.",56
NCAA Final Four 2001,2000-11-13,E,"NCCA Final Four 2001 features relatively entertaining arcade-style hoops action, but the game's subpar graphics, lack of options, annoying control flaws, and lack of on-court atmosphere keep it from meeting those expectations.",55
The Grinch,2000-11-10,E,"Venture into the strange world of Whoville, where reality is twisted and everything is more than a little strange.
Outlandish 3D action, tricky puzzles and a truly magical adventure await you.
Make use of strange weapons and gadgets like the Rotten Egg Launcher, the Slime Shooter and the Love Shield. The Grinch's faithful friend Max the Dog is a useful companion along the way, either distracting the Whoville inhabitants or reaching those otherwise inaccessible areas.",55
Gunfighter: The Legend of Jesse James,2001-11-30,T,"It's steel justice in the Old West -- Gunslingin' outlaw Jesse James is layin' down the law on a posse of no-good bandits. These thieves have snatched Jesse's sweetheart, Zee, and done shot dead his partner, Cole. Now is high time to unshuck yer six shooter, save Zee and send them varmints packin' in a pine box!",55
World's Scariest Police Chases,2001-05-21,T,"Did you play cops-n-robbers as a child? Based on Fox Broadcasting's anthology TV series of high-speed pursuit highlights, World's Scariest Police Chases puts you in the driver's seat of a powerful police cruiser in 20 crime-busting missions. You'll be on the lookout for an array of illegal activity, including drunk drivers, robberies in progress and deadly shootouts. Once engaged, you'll pursue suspects through a dynamic city by taking shortcuts and using aggressive tactics as necessary to apprehend them. Two-player mode lets you roll with a partner; one handles the car while the other fires shots at fleeing vehicles.",54
Disney/Pixar Buzz Lightyear of Star Command,2000-09-26,E,"Only you, Buzz Lightyear, and your elite Space Ranger team can defeat the evil Emperor Zurg in his dark quest for universal domination! Blast off with power-ups like shields, rockets, homing weapons and lightning beams. Fight on jetpacks, hoverboards, jetbikes and more! Explore 12 levels in seven amazing worlds, including Planet Z.",54
Disney's Lilo & Stitch,2002-06-14,E,"While Lilo & Stitch was clearly designed as one for the kiddies, they likely will not be able to surmount its technical limitations.",54
NBA ShootOut 2002,2001-09-01,E,NBA ShootOut 2002 is virtually identical to last year's game.,53
007 Racing,2000-11-20,T,"Pay attention, 007. This is for your eyes only. Q-Branch has re-engineered some of your favorite automobiles with additional gadgets and firepower. You'll need everything they've got, plus your own uncanny ability to beat the odds. The free world is depending on you. Oh, and one other thing before you go, 007 - try to bring them back in one piece.",51
Twisted Metal: Small Brawl,2001-11-26,T,"It seems almost as if this game is SCEA's form of an apology to the fans, while at the same time an attempt to win over some of the younger crowd.",51
Evil Dead: Hail to the King,2000-12-05,M,"Had the battle sequences not been so maddeningly frustrating and frequent, Evil Dead: Hail to the King would at least weigh in as a decent Resident Evil clone, but they work to make the game almost unplayable.",51
Action Bass,2000-07-14,E,"Do you have what it takes to get the biggest bass in the pond on your hook? Do you know the right lures to use in ever changing water conditions? Can you battle the bass and lure im in? Or will he break the line and be the one that got away???? If you think your up to the callenge,
THEN GET READY FOR ACTION BASS!",51
Blade (2000),2000-11-23,M,"Activision has enjoyed a pretty strong track record when it comes to translating comic books and movies into game form, but it's failed on both accounts here.",51
Army Men: World War,2000-04-03,T,"The Green and Tan Nations have broken off peace talks. There is no choice but to prepare for battle. Only after storming the shores of the enemy homeland pushing through thick jungles, and securing war-torn cities, does the ultimate victory await. Dive back into the trenches!",50
Army Men: Sarge's Heroes 2,2000-11-21,T,"If you look up the definition of the word ""poor"" in a dictionary, there's a good chance you'll see Army Men: Sarge's Heroes 2 staring back at you.",48
Freestyle Motocross: McGrath Vs. Pastrana,2000-11-02,E,"McGrath vs. Pastrana Freestyle Motocross is the primary candidate for an award no video game wants to win, the uninspired game of the year award.",48
Power Spike Pro Beach Volleyball,2000-11-13,E,"Power Spike Pro Beach Volleyball makes a good attempt, but its inconsistencies and shoddy control detract from the overall experience.",48
MTV Sports: T.J. Lavin's Ultimate BMX,2001-03-27,T,"Landing vert tricks and pulling off long grinds can be a chore, because the game has a seemingly random system of determining whether or not your bike is straight enough to land. A coin toss would be more predictable.",47
Mike Tyson Boxing,2000-10-23,T,Mike Tyson's Boxing just doesn't have the depth of Knockout Kings or the immediate satisfaction found from the arcade style of play in Ready 2 Rumble.,44
Danger Girl,2000-09-11,T,"3rd person action-adventure has never been sexier with DANGER GIRL, the only videogame based on on the best-selling comic book series by J. Scott Campbell and Andy Hartnell. Dare to take control of 3 beautiful yet leathal Danger Girls in an espionage-themed thrill-ride deemed to dangerous for any man to handle!",43
ECW Anarchy Rulz,2000-08-15,T,"While Anarchy Rulz bears the ECW logo, the wrestling action is simply too low impact and refined for the likes of this brutal organization.",43
Jeremy McGrath Supercross 2000,2000-08-03,E,Jeremy McGrath is an unfortunate example of what happens when sports games fall into a rut.,43
ATV: Quad Power Racing,2000-08-29,E,"Hit the dirt with the only quad racing game available! Power slide, roll over, crash and take on the competition in rough terrain with ATV: Quad Power Racing!",42
MTV Sports: Skateboarding featuring Andy Macdonald,2000-09-13,E,"MTV Skateboarding is a perfect example of cashing in on a recently established genre, yet unlike games like Street Sk8er 2 or Grind Session, it doesn't bring anything worthwhile to the table.",40
